city	state	permalink	created_at	lat	long
Wheaton	IL	yn-onzon-jurngba	2014-09-02 20:03:11	41.888189	-88.10072
West New York	NJ	qhypr-qr-yrpur-onxrel	2014-09-02 21:53:49	40.79371	-74.012342
Fresh Meadows	NY	zvna	2014-09-02 22:11:59	40.739592	-73.789721
Healdsburg	California	nqry-f-erfgnhenag	2014-09-02 23:33:19	38.626249	-122.877222
Greenville	SC	trarivrir-f	2014-09-02 23:52:58	34.847595	-82.401711
Los Angeles	CA	yvggyr-qbz-f	2014-09-03 00:00:13	34.110932	-118.287161
Long Island City	New York	oyiq-jvar-one	2014-09-03 14:37:22	40.745918	-73.957187
Brooklyn	NY	gur-snez-ba-nqqreyrl	2014-09-03 15:14:24	40.639554	-73.967487
Farmington 	MI	snezvatgba-oerjvat-pbzcnal	2014-09-03 19:32:14	42.464985	-83.37609
Bradenton	FL	fzvggl-f-cho-tevyyr	2014-09-03 20:35:31	27.496187	-82.599383
San Francisco	CA	genqvat-cbfg-zbqrea	2014-09-03 22:51:19	37.781883	-122.411323
Olympia	Washington	abezn-f-ohetref-uhg	2014-09-04 16:23:03	47.053501	-122.785511
Olympia	Washington	abezn-f-ohetref-v5	2014-09-04 16:24:11	47.066556	-122.720939
Chicago	IL	gnireavgn-750	2014-09-04 19:52:45	41.94562	-87.649004
Valentine	NE	arba-one-tevyy	2014-09-04 20:44:32	42.868452	-100.558393
Sterling	VA	pureel-oybffbz-erfgnhenag	2014-09-04 21:47:40	39.033088	-77.404796
Alameda	CA	uvtu-fgerrg-fgngvba-pnsr	2014-09-05 18:09:01	37.756493	-122.234171
Chicago	IL	ubevmba-pnsr	2014-09-05 18:09:43	41.951285	-87.649598
Peoria	AZ	wbrl-tvan-f	2014-09-08 20:04:02	33.630093	-112.238292
Chicago	IL	juvgr-bnx-gnirea-vaa	2014-09-08 21:19:26	41.921861	-87.658496
Miami Beach	FL	gnfgl-pnsr	2014-09-08 22:19:32	25.813458	-80.129175
Kent	WA	chawno-fjrrgf	2014-09-08 23:43:44	47.389992	-122.203119
Holland	Michigan	znpngnjn-nyr-pb	2014-09-09 16:27:34	42.793667	-86.109442
Portland	ME	gur-oenzunyy	2014-09-09 18:38:55	43.653634	-70.271601
tucson	Arizona	obpn-gnpbf-l-grdhvyn	2014-09-10 17:54:21	32.235718	-110.958631
Seattle	WA	aryy-f-erfgnhenag	2014-09-10 20:59:42	47.70857	-122.320843
Bristol	RI	puevfgvna-f-jbbq-sverq-tevyy	2014-09-11 00:17:45	41.672252	-71.278411
Brockton	MA	ghggb-orar	2014-09-11 18:55:59	42.052524	-71.066312
Los Angeles	CA	zrybql-ybhatr-yn	2014-09-11 19:58:02	34.065617	-118.23833
Miami Beach	Florida	ubgry-puryfrn-fbhgu-ornpu	2014-09-12 17:43:05	25.780292	-80.133283
Chicago	IL	gur-qevsgre	2014-09-12 19:28:27	41.894624	-87.63742
Denver	CO	qraire-orre-pbzcnal	2014-09-12 21:02:04	39.777048	-105.000748
Los Angeles	CA	nagvthn-phygheny-pbssrr-ubhfr	2014-09-15 18:10:26	34.087367	-118.217482
Miami beach	Fl	oynpx-bepuvq	2014-09-15 18:45:06	25.795289	-80.128764
Corning	NY	unaq-sbbg	2014-09-15 20:43:27	42.144029	-77.057464
Ames	Iowa	one-yn-gbfpn	2014-09-15 21:31:21	42.024837	-93.615541
Alexandria 	VA	unhgr-qbtf-byq-gbja-yyp	2014-09-16 18:10:12	38.813851	-77.044462
Hollywood 	CA	101-pbssrr-fubc	2014-09-16 18:58:12	34.105399	-118.323868
New York	NY	yvggyr-fny-f	2014-09-16 21:15:23	40.736794	-73.992036
Los Angeles	CA	fvzcyrguvatf-fnaqjvpu-naq-cvr-fubc	2014-09-16 22:49:54	34.060622	-118.444593
Tucson	AZ	ivin-f-one-tevyy	2014-09-16 23:14:43	32.250564	-110.942779
Carmel	IN	cvmmbybtl-pnezry-va	2014-09-17 16:07:28	39.979892	-86.07221
Franklin	GA	ybpbzrk-ba-gur-evire	2014-09-17 20:19:08	33.279609	-85.09932
Harrisonburg	VA	oynpx-sberfg-erfgnhenag	2014-09-17 21:06:17	38.446294	-78.853584
Seattle	WA	gur-qbahg-ubyr-zrtna-f-grfg-nppbhag	2014-09-17 21:09:01	47.581612	-122.518363
Memphis	TN	vzntvar-irtna-pnsr	2014-09-17 21:14:13	35.11932	-89.985668
Reisterstown	MD	wnin-znzznf	2014-09-18 15:48:08	39.461412	-76.828126
Las Vegas	Nevada	xnvyla-f-qvare	2014-09-18 17:51:38	36.100649	-115.099351
Sandwich	IL	gvzore-perrx-pbairagvba-pragre	2014-09-18 19:53:35	41.651571	-88.573463
San Antonio	TX	penir-sbbq-gehpx	2014-09-18 19:58:35	29.422907	-98.493067
Oakland	CA	qvivat-qbt-oerjubhfr	2014-09-18 23:22:35	37.807694	-122.269962
Brockton	MA	ww-f-pnsr	2014-09-19 15:20:01	42.098532	-71.020318
Lee	MA	purm-abhf	2014-09-19 17:08:16	42.307785	-73.250382
Chicago	IL	gurngre-jvg-one	2014-09-19 17:57:36	41.939573	-87.660246
Lakeland	FL	pyrirynaq-urvtugf-tbys-pbhefr	2014-09-19 18:13:35	28.01016	-81.945654
